summary,product,platform,whatHappen,howHappen,shouldHappen,Status,Priority,user_id,developer_id,reviewer_id
Unable to access,Poems,Mobile Webpage,The pocket animation does not play,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,34,26,45
User is able to save Pocket to itself,Interactive Brokers,Website,The pocket animation does not play,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Reviews box not supposed to be whited out,Pending for review,Low,34,12,42
Not loading,Poems,Mobile,Box is not whited out but unable to type anything inside,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The text cursor and chars are partially out of the text field view,Pending for review,Low,29,23,31
User is able to save Pocket to itself,Grab,Mobile,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Should be able to access normally,Done,Low,47,9,5
Cursor mismatch,Amazon,Desktop Webpage,Page cannot load despite refreshing multiple times,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,39,1,14
Unable to access,Interactive Brokers,Desktop Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The text cursor and chars are partially out of the text field view,Work in progress,Low,39,50,38
Pictures not loading,Facebook,Website,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Features should load properly,Unassigned,High,16,26,45
Text not displayed properly,Google,Mobile,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Features should load properly,Pending for review,Low,29,26,8
Pictures not loading,Amazon,Desktop Webpage,Page cannot load despite refreshing multiple times,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The text cursor and chars are partially out of the text field view,Unassigned,Low,47,49,48
Page glitching out,Gmail,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The text cursor and chars are partially out of the text field view,Unassigned,Low,47,23,27
Page glitching out,Facebook,Mobile Application,Page cannot load despite refreshing multiple times,1.Press enter and save 2.Press down arrow and observe the elements,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,High,16,40,45
Unable to leave reviews,Interactive Brokers,Desktop Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,2,9,46
Unable to leave reviews,Poems,Website,The text cursor and chars are always visible while typing a tag,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The text cursor and chars are partially out of the text field view,Pending for review,High,36,26,5
Unable to access,Google,Desktop,Save Page to Pocket) where there should be none,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Should be able to access normally,Done,High,2,50,5
User is able to save Pocket to itself,Lazada,Mobile,The pocket animation does not play,1.Login successfully 2.Unable to access,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,16,26,6
Cursor mismatch,Lazada,Mobile,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on object 2.Load the pictures 3.Pictures not loading,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,2,50,43
Not loading,Yahoo,Mobile Webpage,The TypeError: contentWindow is null error message is listed,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,10,28,21
Cursor mismatch,Lazada,Mobile,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Reviews box not supposed to be whited out,Done,High,10,15,21
Pictures not loading,Yahoo,Mobile,The text cursor and chars are always visible while typing a tag,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Should be able to access normally,Pending for review,Low,29,49,21
Unable to access,Poems,Desktop Application,Save Page to Pocket) where there should be none,1.Press enter and save 2.Press down arrow and observe the elements,Should be able to access normally,Unassigned,Low,3,49,43
Unable to leave reviews,Netflix,Mobile Application,Box is not whited out but unable to type anything inside,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The text cursor and chars are partially out of the text field view,Done,Low,32,40,42
Page glitching out,Google,Desktop Application,The TypeError: contentWindow is null error message is listed,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Reviews box not supposed to be whited out,Unassigned,Low,47,18,8
Not loading,Shopback,Mobile Webpage,The text cursor and chars are always visible while typing a tag,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,10,37,22
User is able to save Pocket to itself,Netflix,Mobile,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click on object 2.Load the pictures 3.Pictures not loading,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,3,50,22
Not loading,Shopback,Mobile Webpage,Page cannot load despite refreshing multiple times,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Should be able to access normally,Pending for review,Low,33,11,46
Text not displayed properly,Facebook,Mobile Webpage,The pocket animation does not play,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The text cursor and chars are partially out of the text field view,Done,Low,32,9,46
Text not displayed properly,Poems,Mobile Webpage,Save Page to Pocket) where there should be none,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Features should load properly,Unassigned,High,17,49,14
Cursor mismatch,Facebook,Desktop Webpage,The TypeError: contentWindow is null error message is listed,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,29,26,43
Text not displayed properly,Interactive Brokers,Desktop Webpage,The TypeError: contentWindow is null error message is listed,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Should be able to access normally,Work in progress,High,33,1,45
Page glitching out,Google,Mobile Application,The TypeError: contentWindow is null error message is listed,1.Press enter and save 2.Press down arrow and observe the elements,Features should load properly,Pending for review,High,16,28,22
User is able to save Pocket to itself,Yahoo,Desktop,Two Pocket-related context menu items appear (Save Link to Pocket,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Reviews box not supposed to be whited out,Done,High,29,9,19
Pictures not loading,Facebook,Mobile Webpage,Save Page to Pocket) where there should be none,1.Login successfully 2.Unable to access,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,29,9,14
Cursor mismatch,Amazon,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login successfully 2.Unable to access,The text cursor and chars are partially out of the text field view,Work in progress,Low,16,18,14
Text not displayed properly,Interactive Brokers,Desktop Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Reviews box not supposed to be whited out,Work in progress,High,39,9,19
Unable to access,Grab,Desktop,The TypeError: contentWindow is null error message is listed,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,29,9,31
Unable to access,Google,Desktop Webpage,The text cursor and chars are always visible while typing a tag,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Features should load properly,Pending for review,Low,32,37,45
Features not working,Gmail,Mobile Application,The pocket animation does not play,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,3,9,48
Features not working,Yahoo,Desktop Application,Save Page to Pocket) where there should be none,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Should be able to access normally,Work in progress,High,34,1,31
Unable to access,Amazon,Desktop,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The text cursor and chars are partially out of the text field view,Done,High,47,11,22
Not loading,Facebook,Desktop,The text cursor and chars are always visible while typing a tag,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Features should load properly,Done,High,39,11,27
Page glitching out,Binance,Mobile,Save Page to Pocket) where there should be none,1.Press enter and save 2.Press down arrow and observe the elements,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,33,26,45
Not loading,Binance,Desktop,Page cannot load despite refreshing multiple times,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Features should load properly,Work in progress,Low,10,49,25
Features not working,Amazon,Mobile Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Reviews box not supposed to be whited out,Work in progress,High,10,50,6
Unable to access,Amazon,Desktop Webpage,The TypeError: contentWindow is null error message is listed,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,34,18,25
Unable to leave reviews,Grab,Mobile,Box is not whited out but unable to type anything inside,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Features should load properly,Done,Low,39,15,21
Unable to access,Lazada,Mobile Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on object 2.Load the pictures 3.Pictures not loading,The text cursor and chars are partially out of the text field view,Unassigned,Low,36,18,22
User is able to save Pocket to itself,Binance,Mobile Webpage,The TypeError: contentWindow is null error message is listed,1.Press enter and save 2.Press down arrow and observe the elements,The Learn more hyperlink from the Save to Pocket modal is focused,Done,High,47,23,5
Not loading,Amazon,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,Low,29,1,46
Unable to leave reviews,Shopback,Desktop Webpage,The TypeError: contentWindow is null error message is listed,1.Click on object 2.Load the pictures 3.Pictures not loading,The text cursor and chars are partially out of the text field view,Pending for review,High,10,9,25
User is able to save Pocket to itself,Coinhako,Desktop,Box is not whited out but unable to type anything inside,1.Click on object 2.Load the pictures 3.Pictures not loading,Features should load properly,Done,High,32,11,42
Cursor mismatch,Poems,Desktop Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click on object 2.Load the pictures 3.Pictures not loading,Reviews box not supposed to be whited out,Work in progress,High,39,1,31
Page glitching out,Amazon,Mobile,Page cannot load despite refreshing multiple times,1.Click on object 2.Load the pictures 3.Pictures not loading,The Learn more hyperlink from the Save to Pocket modal is focused,Done,Low,10,18,42
Page glitching out,Lazada,Mobile Webpage,The text cursor and chars are always visible while typing a tag,1.Login successfully 2.Unable to access,Features should load properly,Done,Low,32,15,38
User is able to save Pocket to itself,Shopback,Desktop Webpage,Save Page to Pocket) where there should be none,1.Login successfully 2.Unable to access,Reviews box not supposed to be whited out,Done,High,32,28,38
Features not working,Binance,Desktop,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Press enter and save 2.Press down arrow and observe the elements,The text cursor and chars are partially out of the text field view,Unassigned,High,34,40,45
Cursor mismatch,Facebook,Desktop Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,33,11,5
Page glitching out,Lazada,Desktop Webpage,The TypeError: contentWindow is null error message is listed,1.Login successfully 2.Unable to access,The text cursor and chars are partially out of the text field view,Unassigned,Low,17,1,22
Unable to access,Shopee,Mobile,Save Page to Pocket) where there should be none,1.Press enter and save 2.Press down arrow and observe the elements,Reviews box not supposed to be whited out,Unassigned,High,16,9,21
Pictures not loading,Shopback,Mobile Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Should be able to access normally,Done,Low,39,49,42
Text not displayed properly,Shopee,Website,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Should be able to access normally,Pending for review,High,32,49,48
Unable to leave reviews,Interactive Brokers,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login successfully 2.Unable to access,Reviews box not supposed to be whited out,Work in progress,High,2,28,19
Unable to leave reviews,Netflix,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on object 2.Load the pictures 3.Pictures not loading,The text cursor and chars are partially out of the text field view,Work in progress,High,2,50,42
Text not displayed properly,Google,Mobile Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Reviews box not supposed to be whited out,Work in progress,High,34,28,21
User is able to save Pocket to itself,Facebook,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,High,36,15,22
Not loading,Coinhako,Desktop Webpage,Box is not whited out but unable to type anything inside,1.Click on object 2.Load the pictures 3.Pictures not loading,Should be able to access normally,Unassigned,Low,17,50,42
User is able to save Pocket to itself,Binance,Desktop,The pocket animation does not play,1.Login successfully 2.Unable to access,Features should load properly,Unassigned,Low,47,26,5
User is able to save Pocket to itself,Netflix,Mobile Webpage,The TypeError: contentWindow is null error message is listed,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The text cursor and chars are partially out of the text field view,Work in progress,Low,47,37,46
Text not displayed properly,Netflix,Desktop,Box is not whited out but unable to type anything inside,1.Click on object 2.Load the pictures 3.Pictures not loading,The Learn more hyperlink from the Save to Pocket modal is focused,Done,High,47,40,8
Pictures not loading,Amazon,Desktop Webpage,Page cannot load despite refreshing multiple times,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,Low,39,1,22
Unable to access,Amazon,Mobile Webpage,Page cannot load despite refreshing multiple times,1.Click on object 2.Load the pictures 3.Pictures not loading,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,39,18,38
Unable to leave reviews,Coinhako,Desktop,Page cannot load despite refreshing multiple times,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Features should load properly,Done,High,2,18,25
Features not working,Lazada,Desktop,Save Page to Pocket) where there should be none,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Unassigned,High,3,15,38
Unable to access,Yahoo,Mobile,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Features should load properly,Pending for review,Low,2,12,31
Not loading,Netflix,Desktop,The pocket animation does not play,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The text cursor and chars are partially out of the text field view,Pending for review,Low,2,1,8
Unable to leave reviews,Amazon,Mobile,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Done,High,34,37,31
Not loading,Facebook,Mobile Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login successfully 2.Unable to access,The text cursor and chars are partially out of the text field view,Unassigned,Low,10,50,42
Text not displayed properly,Binance,Website,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Reviews box not supposed to be whited out,Pending for review,Low,16,9,8
Unable to leave reviews,Shopee,Desktop Webpage,Box is not whited out but unable to type anything inside,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Should be able to access normally,Done,Low,29,23,43
Text not displayed properly,Google,Mobile Webpage,The TypeError: contentWindow is null error message is listed,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The text cursor and chars are partially out of the text field view,Pending for review,High,36,26,6
Features not working,Netflix,Desktop Application,Page cannot load despite refreshing multiple times,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The text cursor and chars are partially out of the text field view,Done,High,29,50,27
Unable to leave reviews,Shopback,Mobile,Save Page to Pocket) where there should be none,1.Click on object 2.Load the pictures 3.Pictures not loading,Features should load properly,Unassigned,High,33,26,38
Cursor mismatch,Yahoo,Mobile,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Reviews box not supposed to be whited out,Done,Low,34,40,25
Unable to access,Yahoo,Mobile Webpage,Page cannot load despite refreshing multiple times,1.Login successfully 2.Unable to access,Features should load properly,Done,Low,29,23,14
Unable to leave reviews,Poems,Desktop,The pocket animation does not play,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Reviews box not supposed to be whited out,Pending for review,High,17,11,46
Not loading,Lazada,Desktop Webpage,Save Page to Pocket) where there should be none,1.Login successfully 2.Unable to access,The text cursor and chars are partially out of the text field view,Pending for review,High,33,9,21
Cursor mismatch,Google,Website,The TypeError: contentWindow is null error message is listed,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The text cursor and chars are partially out of the text field view,Unassigned,High,33,49,48
Pictures not loading,Grab,Desktop,The TypeError: contentWindow is null error message is listed,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Features should load properly,Pending for review,Low,47,50,25
Features not working,Gmail,Desktop Application,Save Page to Pocket) where there should be none,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,Low,47,9,19
Not loading,Facebook,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Reviews box not supposed to be whited out,Done,Low,33,18,31
Page glitching out,Coinhako,Mobile Webpage,Box is not whited out but unable to type anything inside,1.Click on object 2.Load the pictures 3.Pictures not loading,Reviews box not supposed to be whited out,Done,High,33,9,46
Not loading,Lazada,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Reviews box not supposed to be whited out,Pending for review,Low,34,12,45
Unable to leave reviews,Netflix,Website,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,High,10,1,14
Not loading,Grab,Desktop,The pocket animation does not play,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Reviews box not supposed to be whited out,Done,High,34,28,6
Page glitching out,Poems,Website,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,Low,34,50,45
Text not displayed properly,Gmail,Desktop Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.Press enter and save 2.Press down arrow and observe the elements,Features should load properly,Unassigned,Low,32,26,48
Page glitching out,Netflix,Mobile,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Press enter and save 2.Press down arrow and observe the elements,Should be able to access normally,Pending for review,Low,2,40,27
Not loading,Facebook,Desktop,Save Page to Pocket) where there should be none,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Features should load properly,Work in progress,High,17,23,27
Text not displayed properly,Shopee,Mobile,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The text cursor and chars are partially out of the text field view,Work in progress,High,16,9,14
Not loading,Coinhako,Desktop Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Login successfully 2.Unable to access,The text cursor and chars are partially out of the text field view,Pending for review,Low,16,15,8
Features not working,Amazon,Desktop,The pocket animation does not play,1.Login successfully 2.Unable to access,The text cursor and chars are partially out of the text field view,Done,High,3,1,43
Page glitching out,Yahoo,Mobile,Two Pocket-related context menu items appear (Save Link to Pocket,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Reviews box not supposed to be whited out,Done,High,2,18,25
Text not displayed properly,Yahoo,Desktop,Save Page to Pocket) where there should be none,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Work in progress,High,47,9,8
User is able to save Pocket to itself,Coinhako,Mobile Application,The pocket animation does not play,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,Low,29,50,45
User is able to save Pocket to itself,Yahoo,Mobile Webpage,The text cursor and chars are always visible while typing a tag,1.Click on object 2.Load the pictures 3.Pictures not loading,Should be able to access normally,Work in progress,Low,34,18,5
Pictures not loading,Grab,Mobile Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Reviews box not supposed to be whited out,Work in progress,Low,36,12,14
User is able to save Pocket to itself,Google,Mobile Application,Page cannot load despite refreshing multiple times,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The text cursor and chars are partially out of the text field view,Pending for review,High,47,49,27
Unable to leave reviews,Interactive Brokers,Desktop,Page cannot load despite refreshing multiple times,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The text cursor and chars are partially out of the text field view,Unassigned,High,39,26,6
Unable to access,Yahoo,Desktop Application,Page cannot load despite refreshing multiple times,1.Login successfully 2.Unable to access,Should be able to access normally,Pending for review,Low,2,12,25
Unable to access,Interactive Brokers,Mobile Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Should be able to access normally,Pending for review,Low,47,1,48
Unable to leave reviews,Google,Mobile,The TypeError: contentWindow is null error message is listed,1.Press enter and save 2.Press down arrow and observe the elements,Features should load properly,Pending for review,High,32,11,46
Pictures not loading,Binance,Desktop,Two Pocket-related context menu items appear (Save Link to Pocket,1.Press enter and save 2.Press down arrow and observe the elements,Reviews box not supposed to be whited out,Done,High,32,23,6
Page glitching out,Yahoo,Mobile,Page cannot load despite refreshing multiple times,1.Click on object 2.Load the pictures 3.Pictures not loading,Features should load properly,Done,High,32,37,38
Not loading,Poems,Desktop Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.Press enter and save 2.Press down arrow and observe the elements,The text cursor and chars are partially out of the text field view,Work in progress,Low,2,23,27
Page glitching out,Shopback,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login successfully 2.Unable to access,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,High,29,23,31
User is able to save Pocket to itself,Netflix,Mobile,Two Pocket-related context menu items appear (Save Link to Pocket,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Features should load properly,Work in progress,High,29,9,31
Text not displayed properly,Yahoo,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Should be able to access normally,Unassigned,Low,33,37,6
Unable to leave reviews,Facebook,Mobile Application,The pocket animation does not play,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Should be able to access normally,Work in progress,High,10,49,43
User is able to save Pocket to itself,Shopback,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on object 2.Load the pictures 3.Pictures not loading,The text cursor and chars are partially out of the text field view,Unassigned,High,33,37,45
Pictures not loading,Amazon,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Done,Low,3,26,42
Features not working,Shopee,Mobile,Page cannot load despite refreshing multiple times,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Features should load properly,Work in progress,High,17,23,48
Unable to leave reviews,Yahoo,Website,Box is not whited out but unable to type anything inside,1.Login successfully 2.Unable to access,Features should load properly,Unassigned,High,3,50,14
Features not working,Grab,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login successfully 2.Unable to access,Reviews box not supposed to be whited out,Work in progress,Low,32,12,46
Cursor mismatch,Lazada,Mobile Application,The TypeError: contentWindow is null error message is listed,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,34,11,27
Text not displayed properly,Interactive Brokers,Mobile,Box is not whited out but unable to type anything inside,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Should be able to access normally,Pending for review,Low,47,49,8
Page glitching out,Yahoo,Mobile,Save Page to Pocket) where there should be none,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,2,26,42
Features not working,Grab,Website,The TypeError: contentWindow is null error message is listed,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Unassigned,Low,32,18,43
Text not displayed properly,Facebook,Desktop Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,10,9,5
Unable to leave reviews,Interactive Brokers,Desktop Application,The TypeError: contentWindow is null error message is listed,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Features should load properly,Pending for review,High,47,18,25
